TAXA,COMMON_NAME,TREE_TYPE,LAT,LONG,X,Z
acer circinatum ,vine maple ,deciduous,49.259264,-123.251908,2089.2123027214693,-370.6718110795513
Thuja plicata,western red cedar,coniferous,49.264098,-123.258822,1899.7360043596382,-1081.981416717362
Prunus serrulata,japanese cherry,deciduous,49.26412,-123.258785,1903.2641117067824,-1082.8650306247055
Thuja plicata,western red cedar,coniferous,49.264081,-123.258662,1909.10254932747,-1074.8155862649028
Acer macrophyllum,big leaf maple,deciduous,49.264122,-123.258606,1914.8469847416532,-1076.9076622008845
Cedrus deodara,deodar cedar,coniferous,49.264001,-123.25893,1887.7156906827022,-1076.1901187197595
thuja plicata ,western red cedar ,coniferous,49.259112,-123.252842,2021.3309483540015,-387.88383677926004
prunus cerasifera ,plum cherry,deciduous,49.259043,-123.252832,2018.3484210988981,-380.77927170763576
tsuga heterophylla ,coastal western hemlock ,coniferous,49.258799,-123.253892,1937.554606824141,-393.30923951935813
tsuga heterophylla ,coastal western hemlock ,coniferous,49.258818,-123.253821,1943.1057996264906,-392.7302269460298
tsuga heterophylla ,coastal western hemlock ,coniferous,49.258849,-123.253741,1949.8644168715327,-393.01762737881427
Pseudotsuga menziesii,douglas-fir,coniferous,49.258678,-123.254072,1919.6559993152614,-387.6410590977812
prunus serrulata ,japanese cherry ,deciduous,49.258773,-123.253651,1951.644652620877,-382.4771744615921
prunus serrulata ,japanese cherry ,deciduous,49.258735,-123.253765,1942.3379259611363,-382.67266640026367
prunus serrulata ,japanese cherry ,deciduous,49.258708,-123.253849,1935.532855178555,-382.9147061732232
stranvaesia davidiana ,chinese photonia,deciduous,49.258675,-123.253903,1930.3365904867856,-381.537587419778
stranvaesia davidiana ,chinese photonia,deciduous,49.258653,-123.253953,1925.974576282651,-381.1007732013296
prunus serrulata ,japanese cherry ,deciduous,49.258354,-123.253872,1915.4655019172715,-349.0196652579601
prunus serrulata ,japanese cherry ,deciduous,49.25839,-123.253927,1913.8290156056198,-354.4377035536113
prunus serrulata ,japanese cherry ,deciduous,49.258505,-123.253988,1915.9568966964557,-367.8025820224552
prunus serrulata ,japanese cherry ,deciduous,49.258554,-123.25402,1916.4782201108146,-373.70373540582625
prunus serrulata ,japanese cherry ,deciduous,49.258818,-123.254064,1927.5219849899563,-401.08353520528635
prunus serrulata ,japanese cherry ,deciduous,49.25879,-123.254045,1927.2698848034984,-397.6868969263696
prunus serrulata ,japanese cherry ,deciduous,49.258748,-123.254121,1920.1900523143586,-396.1842212926414
prunus serrulata ,japanese cherry ,deciduous,49.258704,-123.254134,1917.0454230764606,-392.3199017279986
corylus avellana ,common hazel,deciduous,49.258369,-123.253705,1926.9632861115633,-344.74861662980754
Pseudotsuga menziesii,douglas-fir,coniferous,49.258326,-123.253435,1942.0204716704525,-331.25391900337354
acer macrophyllum ,big leaf maple ,deciduous,49.258395,-123.253609,1934.4854531951048,-343.99607844919524
malus sp,apple tree,deciduous,49.258394,-123.253509,1940.8460976152746,-340.46052395381446
prunus serrulata ,japanese cherry ,deciduous,49.258306,-123.253453,1939.8156958440022,-329.9130322197551
ginkgo biloba ,ginkgo tree ,deciduous,49.257817,-123.252954,1946.135474912721,-264.84608587709965
sequoiadendron gigantum ,giant sequoia ,coniferous,49.257593,-123.252934,1935.6537604519294,-242.2104282681845
tilia cordata ,little leaf linden ,deciduous,49.257659,-123.252935,1939.0559144817303,-248.71166823334966
zelkova serrata ,japanese zelkova,deciduous,49.257649,-123.253369,1910.6970848007488,-262.65097700094543
